Name ligue :,Journée / Group,Local Team ,Away Team ,Match time 
Copa Libertadores,Grupo F,Monagas,Colo-Colo,1-1
Copa Libertadores,Grupo G,Atl. Mineiro,Athletico Paranaense,2-1
Brasileirão,Journée 7,Cruzeiro,Cuiabá,0-1
Copa Sudamericana,Grupo G,Gimnasia La Plata,Santa Fe,1-0
Copa Sudamericana,Grupo G,Goiás EC,Universitario de Deportes,1-0
Play-Off Ouverture - Colombie,Cuadrangular,Alianza Petrolera,Águilas Doradas,5-3
Eredivisie - Play Offs Ascenso,1/4 de finale,VVV Venlo,Willem II,3-2
Eredivisie - Play Offs Ascenso,1/4 de finale,NAC Breda,MVV Maastricht,1-0
CSL,Journée 9,Chengdu Rongcheng,Shanghai Shenhua,2-1
CSL,Journée 9,Beijing Guoan,Cangzhou Mighty Lions,6-2
CSL,Journée 9,Changchun Yatai,Qingdao Manatee,1-0
CSL,Journée 9,Nantong Zhiyun,Wuhan Three Towns,0-5
Coupe du monde,Grupo A,Uzbekistán Sub 20,Nouvelle Zélande U20,2-2
Coupe du monde,Grupo B,États-Unis U20,Fiyi Sub 20,3-0
Coupe du monde,Grupo A,Argentina Sub 20,Guatemala Sub 20,3-0
Coupe du monde,Grupo B,Equateur U20,Slovaquie U20,2-1
